CompanyName,localauthority_name,postcode,accountcode,Employees_thisyear,Employees_lastyear,percent_changefromprevyear,SIC_5DIGIT_CODE,SIC_5DIGIT_NAME,SIC_2DIGIT_CODE,SIC_2DIGIT_CODE_NUMERIC,SIC_2DIGIT_NAME,SIC_3DIGIT_CODE,SIC_3DIGIT_NAME,SIC_SECTION_LETTER,SIC_SECTION_CODE,SIC_SECTION_NAME,incorporationdate_formatted,age_of_firm_years
HAYWOOD AND PADGETT LIMITED,Barnsley,S713HS,20231031,192,192,0,10710,10710 : Manufacture of bread; manufacture of fresh pastry goods and cakes,10,10,10 : Manufacture of food products,107,107 : Manufacture of bakery and farinaceous products,C,C (10-33),Manufacturing,1987-11-13T00:00:00Z,37.676712328767124
LUCY AND YAK LTD,Barnsley,S740FP,20240731,192,150,28,47710,47710 : Retail sale of clothing in specialised stores,47,47,"47 : Retail trade, except of motor vehicles and motorcycles",477,477 : Retail sale of other goods in specialised stores,G,G (45-47),Wholesale and retail trade; repair of motor vehicles,2017-07-05T00:00:00Z,8.013698630136986
PRAHI LIMITED,Doncaster,DN45NU,20231230,192,188,2.13,46310,46310 : Wholesale of fruit and vegetables,46,46,"46 : Wholesale trade, except of motor vehicles and motorcycles",463,"463 : Wholesale of food, beverages and tobacco",G,G (45-47),Wholesale and retail trade; repair of motor vehicles,2012-04-11T00:00:00Z,13.24931506849315
PK EDUCATION LIMITED,Sheffield,S12EX,20240731,191,101,89.11,85600,85600 : Educational support activities,85,85,85 : Education,856,856 : Educational support activities,P,P (85),Education,2019-04-18T00:00:00Z,6.227397260273973
SBD APPAREL LIMITED,Rotherham,S605FX,20240331,191,36,430.56,14190,14190 : Manufacture of other wearing apparel and accessories,14,14,14 : Manufacture of wearing apparel,141,"141 : Manufacture of wearing apparel, except fur apparel",C,C (10-33),Manufacturing,2013-03-19T00:00:00Z,12.312328767123288
HEC PROPERTY SERVICES LIMITED,Sheffield,S93RS,20250331,190,188,1.06,81299,81299 : Cleaning services (other than disinfecting and extermination services) nec,81,81,81 : Services to buildings and landscape activities,812,812 : Cleaning activities,N,N (77-82),Administrative and support service activities,2002-12-10T00:00:00Z,22.59178082191781
LOADHOG LIMITED,Sheffield,S92SU,20231231,189,173,9.25,22290,22290 : Manufacture of other plastic products,22,22,22 : Manufacture of rubber and plastic products,222,222 : Manufacture of plastics products,C,C (10-33),Manufacturing,2003-01-02T00:00:00Z,22.528767123287672
IVY COTTAGE (ACKTON) LTD,Barnsley,S715RG,20240331,188,186,1.08,96090,96090 : Other personal service activities nec,96,96,96 : Other personal service activities,960,960 : Other personal service activities,S,S (94-96),Other service activities,2000-08-03T00:00:00Z,24.945205479452056
INSPIRO LEARNING LIMITED,Doncaster,DN33EW,20240331,186,529,-64.84,85590,85590 : Other education nec,85,85,85 : Education,855,855 : Other education,P,P (85),Education,2012-05-04T00:00:00Z,13.186301369863013
CFT CARE LIMITED,Barnsley,S752BL,20240331,184,182,1.1,87900,87900 : Other residential care activities,87,87,87 : Residential care activities,879,879 : Other residential care activities,Q,Q (86-88),Human health and social work activities,2014-07-31T00:00:00Z,10.945205479452055
SOUTH YORKSHIRE SENIOR CARE SERVICES LIMITED,Sheffield,S352XQ,20240731,183,168,8.93,88100,88100 : Social work activities without accommodation for the elderly and disabled,88,88,88 : Social work activities without accommodation,881,881 : Social work activities without accommodation for the elderly and disabled,Q,Q (86-88),Human health and social work activities,2006-05-25T00:00:00Z,19.134246575342466
ABBEY FORGED PRODUCTS LIMITED,Sheffield,S61ND,20231031,181,180,0.56,24100,24100 : Manufacture of basic iron and steel and of ferro-alloys,24,24,24 : Manufacture of basic metals,241,241 : Manufacture of basic iron and steel and of ferro-alloys,C,C (10-33),Manufacturing,1982-06-18T00:00:00Z,43.084931506849315
ENERGISE ENERGY SOLUTIONS LTD,Doncaster,DN93QZ,20240229,174,153,13.73,71129,71129 : Other engineering activities (not including engineering design for industrial process and production or engineering related scientific and technical consulting activities),71,71,71 : Architectural and engineering activities; technical testing and analysis,711,711 : Architectural and engineering activities and related technical consultancy,M,M (69-75),"Professional, scientific and technical activities",2018-09-29T00:00:00Z,6.778082191780822
